id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
685	where was the film the remains of the day filmed	Limpley Stoke | Weston-super-Mare | Powderham Castle | Badminton House | Dyrham Park | Corsham Court	1993	No	"[[0.9549633264541626, 0.04503662884235382], [0.960281252861023, 0.03971889615058899], [0.9632319808006287, 0.036768026649951935], [0.9571524262428284, 0.042847514152526855], [0.9592962265014648, 0.04070382937788963], [0.9624926447868347, 0.037507399916648865]]"
686	where was the film the remains of the day filmed	Limpley Stoke | Weston-super-Mare | Powderham Castle | Badminton House | Dyrham Park | Corsham Court	Weston-super-Mare	Yes	"[[0.9636174440383911, 0.036382678896188736], [0.010877036489546299, 0.9891229271888733], [0.9691357612609863, 0.030864320695400238], [0.9665704369544983, 0.033429522067308426], [0.9679281115531921, 0.03207191452383995], [0.9692658185958862, 0.030734209343791008]]"
687	who plays the doc in back to the future	Christopher Allen Lloyd	Christopher Lloyd	Yes	"[[0.2782013416290283, 0.7217985987663269]]"
688	who plays the doc in back to the future	Christopher Allen Lloyd	Christopher Lloyd.	Yes	"[[0.2346034049987793, 0.7653965950012207]]"
689	who plays the doc in back to the future	Christopher Allen Lloyd	christopher allen lloyd	Yes	"[[0.009775371290743351, 0.9902248382568359]]"
690	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	from the back and sides of the head	Yes	"[[0.9610439538955688, 0.038956087082624435], [0.957857608795166, 0.042142342776060104], [0.9614058136940002, 0.03859402611851692], [0.012074455618858337, 0.9879254102706909], [0.9542738795280457, 0.04572610184550285], [0.009812906384468079, 0.9901871681213379]]"
691	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	the 'donor site'	No	"[[0.9686945080757141, 0.03130548074841499], [0.9655170440673828, 0.03448300063610077], [0.9677687883377075, 0.03223126754164696], [0.9580663442611694, 0.04193371161818504], [0.9671326875686646, 0.03286727890372276], [0.95524001121521, 0.04475991427898407]]"
692	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	back of the head	Yes	"[[0.9634453654289246, 0.03655460104346275], [0.9560087323188782, 0.0439913347363472], [0.9621178507804871, 0.0378822423517704], [0.010284611955285072, 0.9897154569625854], [0.9570819139480591, 0.04291817545890808], [0.009802562184631824, 0.9901974201202393]]"
693	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	"Hair for a hair transplant is typically taken from the back or sides of the scalp, where the hair is more resistant to balding."	Yes	"[[0.9585502743721008, 0.04144974797964096], [0.9177380204200745, 0.08226197212934494], [0.9393928050994873, 0.06060720980167389], [0.009627982042729855, 0.9903720021247864], [0.9492154121398926, 0.050784528255462646], [0.00912960059940815, 0.9908704161643982]]"
694	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	chest	Yes	"[[0.010249569080770016, 0.9897505044937134], [0.9438971281051636, 0.056102968752384186], [0.6898435354232788, 0.3101564645767212], [0.9373544454574585, 0.06264559924602509], [0.9510869979858398, 0.04891294986009598], [0.9441857933998108, 0.055814228951931]]"
695	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	back	Yes	"[[0.9596998691558838, 0.04030011594295502], [0.9459905624389648, 0.05400949716567993], [0.958128809928894, 0.04187120124697685], [0.00962150190025568, 0.9903784394264221], [0.9512370228767395, 0.0487629771232605], [0.17201250791549683, 0.8279874920845032]]"
696	where do they get the hair for a hair transplant	chest | shoulders | torso | back | legs | back of the head	back of head	Yes	"[[0.9628021717071533, 0.03719773888587952], [0.9522892832756042, 0.04771069809794426], [0.9630017876625061, 0.03699814900755882], [0.010366086848080158, 0.9896338582038879], [0.9497242569923401, 0.05027567595243454], [0.009315612725913525, 0.9906843304634094]]"
697	when does the new season of law and order svu come on	"September 27, 2017"	"September 27, 2018"	Yes	"[[0.025939997285604477, 0.97406005859375]]"
698	when does the new season of law and order svu come on	"September 27, 2017"	"September 27, 2017"	Yes	"[[0.008892283774912357, 0.991107702255249]]"
699	when does the new season of law and order svu come on	"September 27, 2017"	"September 26 , 2018"	No	"[[0.5728850364685059, 0.42711499333381653]]"
700	when does the new season of law and order svu come on	"September 27, 2017"	September 27 2017	Yes	"[[0.008414894342422485, 0.9915850758552551]]"
701	when does the new season of law and order svu come on	"September 27, 2017"	"The new season of Law & Order: SVU will premiere on Thursday, November 12th, 2020 at 9/8c on NBC."	No	"[[0.9117677211761475, 0.08823239803314209]]"
702	who plays the queen in victoria and abdul	Judi Dench	Judi Dench	Yes	"[[0.008483337238430977, 0.9915167093276978]]"
703	who plays the queen in victoria and abdul	Judi Dench	Judi Dench.	Yes	"[[0.008234856650233269, 0.991765022277832]]"
704	who become the ceo of it wipro company in 2016	Abid Ali Neemuchwala	abid ali neemuchwala	Yes	"[[0.02927146852016449, 0.9707285761833191]]"
705	who become the ceo of it wipro company in 2016	Abid Ali Neemuchwala	abidali neemuchwala	Yes	"[[0.3250836730003357, 0.6749163269996643]]"
706	who become the ceo of it wipro company in 2016	Abid Ali Neemuchwala	Abidali Neemuchwala became the CEO of Wipro in 2016.	Yes	"[[0.1607401967048645, 0.8392598032951355]]"
707	how much venom can a king cobra produce	up to 7Â ml | 200 to 500Â mg | 420Â mg	420 mg	Yes	"[[0.9450329542160034, 0.054966989904642105], [0.8951953053474426, 0.10480464994907379], [0.008435569703578949, 0.9915643334388733]]"
708	how much venom can a king cobra produce	up to 7Â ml | 200 to 500Â mg | 420Â mg	up to 500 mg	No	"[[0.5909126996994019, 0.40908730030059814], [0.6345065832138062, 0.365493506193161], [0.8542248010635376, 0.14577516913414001]]"
709	how much venom can a king cobra produce	up to 7Â ml | 200 to 500Â mg | 420Â mg	A king cobra can produce up to 200-500 mg of venom in a single bite.	Yes	"[[0.6589213609695435, 0.34107866883277893], [0.00981423445045948, 0.9901857376098633], [0.8590306043624878, 0.14096930623054504]]"
710	how much venom can a king cobra produce	up to 7Â ml | 200 to 500Â mg | 420Â mg	200 to 500 mg	Yes	"[[0.934845507144928, 0.06515449285507202], [0.008131779730319977, 0.9918681979179382], [0.8634689450263977, 0.13653098046779633]]"
711	what is the approximate volume of blood in your body	approximately 5 liters	The approximate volume of blood in the human body is 5 liters.	Yes	"[[0.01082740630954504, 0.989172637462616]]"
712	what is the approximate volume of blood in your body	approximately 5 liters	5 liters	Yes	"[[0.030524929985404015, 0.9694750308990479]]"
713	what is the approximate volume of blood in your body	approximately 5 liters	approximately 5 liters	Yes	"[[0.009823168627917767, 0.9901768565177917]]"
714	how many books are in the one piece series	83 | more than 80	89	No	"[[0.8514736294746399, 0.1485264003276825], [0.9389581084251404, 0.06104198470711708]]"
715	how many books are in the one piece series	83 | more than 80	56	No	"[[0.9510021805763245, 0.048997826874256134], [0.9541239738464355, 0.04587603732943535]]"
716	how many books are in the one piece series	83 | more than 80	914	No	"[[0.9492918848991394, 0.05070815607905388], [0.9523054957389832, 0.047694433480501175]]"
717	how many books are in the one piece series	83 | more than 80	9	No	"[[0.9571249485015869, 0.04287499561905861], [0.9494276642799377, 0.050572387874126434]]"
718	how many books are in the one piece series	83 | more than 80	97	No	"[[0.9498573541641235, 0.05014265328645706], [0.9490960836410522, 0.05090399086475372]]"
719	how many books are in the one piece series	83 | more than 80	95 books.	No	"[[0.920158326625824, 0.07984162122011185], [0.9501640796661377, 0.0498359240591526]]"
720	who played doctor smith in lost in space	Jonathan Harris	Jonathan Harris.	Yes	"[[0.010513247922062874, 0.9894866347312927]]"
721	who played doctor smith in lost in space	Jonathan Harris	jonathan harris	Yes	"[[0.011220249347388744, 0.9887798428535461]]"
722	who played doctor smith in lost in space	Jonathan Harris	Parker Posey	No	"[[0.96150803565979, 0.038491904735565186]]"
723	oklahoma's 10 geographic regions are defined by surface features called	ecological regions	Physiographic regions.	No	"[[0.9367783069610596, 0.06322165578603745]]"
724	oklahoma's 10 geographic regions are defined by surface features called	ecological regions	physiographic provinces	No	"[[0.9608994722366333, 0.03910057619214058]]"
725	oklahoma's 10 geographic regions are defined by surface features called	ecological regions	Green Country	No	"[[0.9486676454544067, 0.051332321017980576]]"
726	oklahoma's 10 geographic regions are defined by surface features called	ecological regions	ecological regions	Yes	"[[0.009782645851373672, 0.9902173280715942]]"
727	oklahoma's 10 geographic regions are defined by surface features called	ecological regions	terrain	No	"[[0.9409133195877075, 0.05908669903874397]]"
728	when did the east india company take control of india	1799 | 1757 | in 1757 | 1612	1858	No	"[[0.9546555280685425, 0.04534439370036125], [0.9315197467803955, 0.06848030537366867], [0.9402826428413391, 0.05971728265285492], [0.952946126461029, 0.047053929418325424]]"
729	when did the east india company take control of india	1799 | 1757 | in 1757 | 1612	The East India Company took control of India in 1757.	Yes	"[[0.8784538507461548, 0.12154609709978104], [0.012844870798289776, 0.987155020236969], [0.012827054597437382, 0.9871729612350464], [0.8554125428199768, 0.14458738267421722]]"
730	when did the east india company take control of india	1799 | 1757 | in 1757 | 1612	during 18th century	No	"[[0.9617992043495178, 0.038200728595256805], [0.9564869999885559, 0.0435129813849926], [0.946606457233429, 0.05339348688721657], [0.9655035734176636, 0.034496378153562546]]"
731	when did the east india company take control of india	1799 | 1757 | in 1757 | 1612	1757	Yes	"[[0.9572449326515198, 0.04275495186448097], [0.008937154896557331, 0.9910629987716675], [0.009874451905488968, 0.9901255369186401], [0.9618220329284668, 0.0381779670715332]]"
732	where are the highest average incomes found in north america	Virginia	"The highest average incomes in North America are found in the United States, with an average income of $57,617."	No	"[[0.5304214954376221, 0.4695783853530884]]"
733	where are the highest average incomes found in north america	Virginia	The United States	No	"[[0.9333445429801941, 0.06665536016225815]]"
734	where are the highest average incomes found in north america	Virginia	maryland	No	"[[0.9109358191490173, 0.0890641063451767]]"
735	where are the highest average incomes found in north america	Virginia	Canada	No	"[[0.9339938163757324, 0.06600629538297653]]"
736	where are the highest average incomes found in north america	Virginia	Alaska	No	"[[0.9390379190444946, 0.06096199154853821]]"
737	when does the new episode of scorpion come on	"January 15, 2018"	"April 18, 2018"	No	"[[0.6696197390556335, 0.3303801715373993]]"
738	when does the new episode of scorpion come on	"January 15, 2018"	16 April 2018	No	"[[0.746181845664978, 0.2538180947303772]]"
739	when does the new episode of scorpion come on	"January 15, 2018"	Mondays at 10/9c on CBS	No	"[[0.93189537525177, 0.06810460984706879]]"
740	when does the new episode of scorpion come on	"January 15, 2018"	"The new episode of Scorpion airs on Monday, April 6th at 10/9c on CBS."	No	"[[0.8262929320335388, 0.17370709776878357]]"
741	when does the new episode of scorpion come on	"January 15, 2018"	"April 16, 2018"	No	"[[0.6462050080299377, 0.3537949323654175]]"
742	when does the new episode of scorpion come on	"January 15, 2018"	September 25 2017	No	"[[0.9447224736213684, 0.055277541279792786]]"
743	when does the new episode of scorpion come on	"January 15, 2018"	"March 1, 2018"	No	"[[0.6560418605804443, 0.3439580798149109]]"
744	when does the new episode of scorpion come on	"January 15, 2018"	"September 25, 2017"	No	"[[0.9435201287269592, 0.05647984892129898]]"
745	what is on a mcchicken sandwich from mcdonalds	a breaded chicken patty | a toasted wheat bun | breaded chicken patty | mayonnaise | shredded lettuce | toasted wheat bun	chicken patty	No	"[[0.6019319891929626, 0.39806801080703735], [0.9532456994056702, 0.04675443470478058], [0.607021689414978, 0.3929782807826996], [0.9555898308753967, 0.04441022500395775], [0.9606655836105347, 0.039334263652563095], [0.9495711326599121, 0.05042888596653938]]"
746	what is on a mcchicken sandwich from mcdonalds	a breaded chicken patty | a toasted wheat bun | breaded chicken patty | mayonnaise | shredded lettuce | toasted wheat bun	shredded lettuce	Yes	"[[0.9537087082862854, 0.04629121720790863], [0.9524711966514587, 0.047528836876153946], [0.9465427994728088, 0.053457170724868774], [0.9585050940513611, 0.04149484261870384], [0.008101335726678371, 0.9918985366821289], [0.9472888708114624, 0.05271105840802193]]"
747	what is on a mcchicken sandwich from mcdonalds	a breaded chicken patty | a toasted wheat bun | breaded chicken patty | mayonnaise | shredded lettuce | toasted wheat bun	"A McChicken sandwich consists of a chicken patty, mayonnaise, and shredded lettuce on a toasted bun."	Yes	"[[0.15444380044937134, 0.8455561995506287], [0.1385525017976761, 0.8614473938941956], [0.06581109762191772, 0.9341887831687927], [0.03916393965482712, 0.9608360528945923], [0.021905943751335144, 0.9780941009521484], [0.031211109831929207, 0.9687888622283936]]"
748	what is on a mcchicken sandwich from mcdonalds	a breaded chicken patty | a toasted wheat bun | breaded chicken patty | mayonnaise | shredded lettuce | toasted wheat bun	mayonnaise	Yes	"[[0.9595786333084106, 0.04042130336165428], [0.9573453068733215, 0.04265471175312996], [0.9553200006484985, 0.0446799173951149], [0.007851889356970787, 0.9921481609344482], [0.965575635433197, 0.03442445769906044], [0.9535145163536072, 0.04648544639348984]]"
749	what is on a mcchicken sandwich from mcdonalds	a breaded chicken patty | a toasted wheat bun | breaded chicken patty | mayonnaise | shredded lettuce | toasted wheat bun	"A McDonald's McChicken sandwich consists of a crispy chicken patty, mayonnaise, and shredded lettuce on a toasted bun."	Yes	"[[0.018789734691381454, 0.9812102913856506], [0.02117282524704933, 0.978827178478241], [0.04315658658742905, 0.956843376159668], [0.008485764265060425, 0.9915141463279724], [0.009459221735596657, 0.9905408620834351], [0.018735118210315704, 0.9812650084495544]]"
750	who plays the voice of johnny in sing	Taron Egerton	Joaquin Phoenix	No	"[[0.9629086852073669, 0.03709125891327858]]"
751	who plays the voice of johnny in sing	Taron Egerton	taron egerton	Yes	"[[0.011523651890456676, 0.9884763956069946]]"
752	who plays the voice of johnny in sing	Taron Egerton	Scarlett Johansson	No	"[[0.96122807264328, 0.038771823048591614]]"
753	who plays the voice of johnny in sing	Taron Egerton	John C. Reilly	No	"[[0.9647634625434875, 0.03523648902773857]]"
754	who plays the voice of johnny in sing	Taron Egerton	Matthew McConaughey.	No	"[[0.96025550365448, 0.03974458575248718]]"
755	who plays the voice of johnny in sing	Taron Egerton	Peter Dobson	No	"[[0.959723174571991, 0.04027687758207321]]"
756	who is considered as architect of india constitution	B. R. Ambedkar	bhimrao ramji ambedkar	Yes	"[[0.04385767877101898, 0.9561424255371094]]"
757	who is considered as architect of india constitution	B. R. Ambedkar	Dr. B. R. Ambedkar is considered the architect of the Indian Constitution.	Yes	"[[0.010457002557814121, 0.9895430207252502]]"
758	who is considered as architect of india constitution	B. R. Ambedkar	Dr. B.R. Ambedkar	Yes	"[[0.012351135723292828, 0.9876489639282227]]"
759	who is considered as architect of india constitution	B. R. Ambedkar	B. R. Ambedkar	Yes	"[[0.010172681882977486, 0.9898273348808289]]"
760	where is lord's prayer found in bible	in the Gospel of Luke	the gospel of luke	Yes	"[[0.010028459131717682, 0.9899715185165405]]"
761	where is lord's prayer found in bible	in the Gospel of Luke	The Lord's Prayer is found in Matthew 6:9-13 and Luke 11:2-4.	Yes	"[[0.16596774756908417, 0.8340322375297546]]"
762	where is lord's prayer found in bible	in the Gospel of Luke	Matthew 6:9-13	No	"[[0.8916794061660767, 0.10832053422927856]]"
763	where is lord's prayer found in bible	in the Gospel of Luke	in gospel of luke	Yes	"[[0.009348327293992043, 0.9906517267227173]]"
764	where is lord's prayer found in bible	in the Gospel of Luke	Matthew 6:9	No	"[[0.8763976693153381, 0.12360230833292007]]"
765	where is lord's prayer found in bible	in the Gospel of Luke	Gospel of Luke	Yes	"[[0.009518121369183064, 0.9904819130897522]]"
766	when did the sims 4 toddlers come out	"January 2017 | January 12, 2017 | the January 2017 patch"	January 2017	Yes	"[[0.008623087778687477, 0.9913768172264099], [0.12345604598522186, 0.8765439987182617], [0.06430568546056747, 0.9356943964958191]]"
767	when did the sims 4 toddlers come out	"January 2017 | January 12, 2017 | the January 2017 patch"	"The Sims 4 Toddlers were released on January 16, 2017."	Yes	"[[0.009525386616587639, 0.9904746413230896], [0.04801322892308235, 0.9519867300987244], [0.29260072112083435, 0.7073992490768433]]"
768	when did the sims 4 toddlers come out	"January 2017 | January 12, 2017 | the January 2017 patch"	"May 30 , 2017"	No	"[[0.5826385617256165, 0.41736143827438354], [0.6761146783828735, 0.32388538122177124], [0.7469043731689453, 0.2530956268310547]]"
769	when did the sims 4 toddlers come out	"January 2017 | January 12, 2017 | the January 2017 patch"	2014	No	"[[0.9176775813102722, 0.0823223814368248], [0.9371263980865479, 0.06287360936403275], [0.9351844787597656, 0.06481561809778214]]"
770	the recipient of first jnanpith award was an author which language	Malayalam	G. Sankara Kurup for Malayalam	Yes	"[[0.01228429563343525, 0.9877156019210815]]"
771	the recipient of first jnanpith award was an author which language	Malayalam	malayalam	Yes	"[[0.009896030649542809, 0.9901038408279419]]"
772	the recipient of first jnanpith award was an author which language	Malayalam	"G. Sankara Kurup, an author from Malayalam, was the first recipient of the Jnanpith Award."	Yes	"[[0.010526778176426888, 0.9894732236862183]]"
773	the recipient of first jnanpith award was an author which language	Malayalam	Bengali	No	"[[0.9482622742652893, 0.05173782259225845]]"
774	the recipient of first jnanpith award was an author which language	Malayalam	indian languages	No	"[[0.928668737411499, 0.07133122533559799]]"
775	the recipient of first jnanpith award was an author which language	Malayalam	Hindi	No	"[[0.9452433586120605, 0.05475664138793945]]"
776	the recipient of first jnanpith award was an author which language	Malayalam	Indian	No	"[[0.9318146109580994, 0.06818542629480362]]"
777	where was the movie jeremiah johnson filmed at	Utah	Utah	Yes	"[[0.009897824376821518, 0.9901021122932434]]"
778	where was the movie jeremiah johnson filmed at	Utah	"The movie Jeremiah Johnson was filmed in Utah, Colorado, and Wyoming."	Yes	"[[0.011464814655482769, 0.9885352849960327]]"
779	where does the last name cintron come from	Spanish-French | Portuguese	Old French	No	"[[0.6847406029701233, 0.3152593970298767], [0.9573758840560913, 0.042624108493328094]]"
780	where does the last name cintron come from	Spanish-French | Portuguese	Spain	No	"[[0.7733167409896851, 0.22668327391147614], [0.9579043984413147, 0.04209550842642784]]"
781	where does the last name cintron come from	Spanish-French | Portuguese	spanish	Yes	"[[0.14868617057800293, 0.8513137698173523], [0.9241645336151123, 0.07583553344011307]]"
782	where does the last name cintron come from	Spanish-French | Portuguese	Latin	No	"[[0.942966878414154, 0.05703326314687729], [0.9335432052612305, 0.0664568692445755]]"
783	where does the last name cintron come from	Spanish-French | Portuguese	Puerto Rico	No	"[[0.9534223079681396, 0.046577684581279755], [0.9565522074699402, 0.04344777390360832]]"
784	where does the last name cintron come from	Spanish-French | Portuguese	of spanish origin	No	"[[0.6159784197807312, 0.3840215504169464], [0.9466878771781921, 0.05331212282180786]]"
785	where does the last name cintron come from	Spanish-French | Portuguese	"Cintron is a Spanish surname derived from the word cinto, meaning ""belt""."	No	"[[0.7963640689849854, 0.20363591611385345], [0.8576412200927734, 0.14235885441303253]]"
786	where does the last name cintron come from	Spanish-French | Portuguese	Ireland	No	"[[0.9577534794807434, 0.04224660247564316], [0.9602621793746948, 0.03973782807588577]]"
787	who won last year's ncaa women's basketball	South Carolina	South Carolina	Yes	"[[0.010801209136843681, 0.9891986846923828]]"
788	who won last year's ncaa women's basketball	South Carolina	Baylor Bears	No	"[[0.9596360325813293, 0.040364060550928116]]"
789	who won last year's ncaa women's basketball	South Carolina	Connecticut	No	"[[0.9511426687240601, 0.04885732755064964]]"
790	who won last year's ncaa women's basketball	South Carolina	The Baylor Lady Bears won the 2020 NCAA Women's Basketball Championship.	No	"[[0.9153366088867188, 0.08466336131095886]]"
791	where do pineapples come from in the world	Thailand | the Philippines | Brazil | Philippines | Indonesia | India | Costa Rica	Costa Rica	Yes	"[[0.9488195180892944, 0.05118053779006004], [0.94136643409729, 0.05863362178206444], [0.9532803893089294, 0.04671967774629593], [0.9362425804138184, 0.06375742703676224], [0.9447774291038513, 0.055222608149051666], [0.9549775123596191, 0.04502243921160698], [0.012051775120198727, 0.9879482388496399]]"
792	where do pineapples come from in the world	Thailand | the Philippines | Brazil | Philippines | Indonesia | India | Costa Rica	Brazil	Yes	"[[0.9485554099082947, 0.05144449323415756], [0.9387670159339905, 0.061233047395944595], [0.012010143138468266, 0.9879899024963379], [0.9382334351539612, 0.06176657974720001], [0.9463310241699219, 0.053668949753046036], [0.9459525942802429, 0.05404739826917648], [0.9568036198616028, 0.043196287006139755]]"
793	where do pineapples come from in the world	Thailand | the Philippines | Brazil | Philippines | Indonesia | India | Costa Rica	Central and South America	No	"[[0.951490044593811, 0.04850985109806061], [0.942415714263916, 0.05758428946137428], [0.9519842863082886, 0.04801568016409874], [0.9433212280273438, 0.05667887255549431], [0.950837254524231, 0.049162693321704865], [0.9568142294883728, 0.04318581894040108], [0.9575768709182739, 0.04242318868637085]]"
794	where do pineapples come from in the world	Thailand | the Philippines | Brazil | Philippines | Indonesia | India | Costa Rica	"Pineapples are native to South America, but are now grown in tropical and subtropical regions around the world."	No	"[[0.8242510557174683, 0.17574895918369293], [0.8170250058174133, 0.18297509849071503], [0.7483400106430054, 0.25165992975234985], [0.8414285182952881, 0.1585714966058731], [0.862206220626831, 0.13779376447200775], [0.8199426531791687, 0.1800573319196701], [0.9020116925239563, 0.09798820316791534]]"
795	where was it happened at the world fair filmed	"The Seattle Center | Seattle, Washington | Camarillo, California"	"seattle, washington"	Yes	"[[0.463517963886261, 0.536482036113739], [0.011096755973994732, 0.9889031648635864], [0.960647702217102, 0.039352357387542725]]"
796	where was it happened at the world fair filmed	"The Seattle Center | Seattle, Washington | Camarillo, California"	Chicago	No	"[[0.9547680020332336, 0.04523212090134621], [0.9517282247543335, 0.04827180504798889], [0.9613029956817627, 0.03869713842868805]]"
797	where was it happened at the world fair filmed	"The Seattle Center | Seattle, Washington | Camarillo, California"	seattle washington	Yes	"[[0.47173064947128296, 0.528269350528717], [0.010381242260336876, 0.989618718624115], [0.9612915515899658, 0.03870850056409836]]"
798	where was it happened at the world fair filmed	"The Seattle Center | Seattle, Washington | Camarillo, California"	"The World Fair was filmed in Los Angeles, California."	No	"[[0.729244589805603, 0.2707553803920746], [0.7797300815582275, 0.22026997804641724], [0.5188907384872437, 0.4811092019081116]]"
799	where is the world cup being held 2018	Russia	The 2018 FIFA World Cup is being held in Russia.	Yes	"[[0.01215191651135683, 0.9878481030464172]]"
800	where is the world cup being held 2018	Russia	russia	Yes	"[[0.008987711742520332, 0.9910122156143188]]"
801	when does the world cup of hockey start	2020	"September 17 , 2016"	No	"[[0.9457868933677673, 0.054213106632232666]]"
802	when does the world cup of hockey start	2020	28 November	No	"[[0.9455772042274475, 0.054422903805971146]]"
803	when does the world cup of hockey start	2020	1996	No	"[[0.9533585906028748, 0.04664134606719017]]"
804	when does the world cup of hockey start	2020	"The 2021 World Cup of Hockey is scheduled to begin on July 23, 2021."	Yes	"[[0.46292978525161743, 0.537070095539093]]"
805	when does the world cup of hockey start	2020	"September 8, 2016"	No	"[[0.9492177367210388, 0.05078229308128357]]"
806	when does the world cup of hockey start	2020	28 November 2018	No	"[[0.9481359124183655, 0.0518641397356987]]"
807	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	"around oahu, hawaii"	Yes	"[[0.9592711925506592, 0.040728840976953506], [0.9564336538314819, 0.04356635734438896], [0.011436613276600838, 0.9885633587837219]]"
808	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	"The Rise of the Planet of the Apes was filmed in Vancouver, British Columbia, Canada."	Yes	"[[0.8399309515953064, 0.160069078207016], [0.012145498767495155, 0.987854540348053], [0.8450022339820862, 0.15499772131443024]]"
809	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	"Oahu, Hawaii"	Yes	"[[0.9614648818969727, 0.03853511065244675], [0.9587348103523254, 0.04126511141657829], [0.011166587471961975, 0.9888334274291992]]"
810	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	"San Francisco, California"	Yes	"[[0.011626987718045712, 0.9883729219436646], [0.9519879817962646, 0.04801196977496147], [0.9534575939178467, 0.0465424470603466]]"
811	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	"Vancouver, British Columbia"	Yes	"[[0.9576178193092346, 0.04238218814134598], [0.012085157446563244, 0.9879149198532104], [0.9574297070503235, 0.042570244520902634]]"
812	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	"Vancouver , British Columbia"	Yes	"[[0.9576178193092346, 0.04238218814134598], [0.012085157446563244, 0.9879149198532104], [0.9574297070503235, 0.042570244520902634]]"
813	where was the rise of the planet of the apes filmed	"San Francisco, California | Vancouver, British Columbia | Oahu, Hawaii"	vancouver british columbia	Yes	"[[0.9548146724700928, 0.04518533870577812], [0.010881886817514896, 0.9891180992126465], [0.9536449313163757, 0.04635506123304367]]"
814	when was the first star wars film released	"1977 | May 25, 1977"	1977	Yes	"[[0.010280566290020943, 0.9897193908691406], [0.3629286289215088, 0.637071430683136]]"
815	when was the first star wars film released	"1977 | May 25, 1977"	"May 25 , 1977"	Yes	"[[0.010541797615587711, 0.9894582033157349], [0.00994123611599207, 0.9900587201118469]]"
816	when was the first star wars film released	"1977 | May 25, 1977"	"The first Star Wars film was released on May 25, 1977."	Yes	"[[0.01113906130194664, 0.9888609647750854], [0.010855911299586296, 0.9891442656517029]]"
817	when was the first star wars film released	"1977 | May 25, 1977"	"May 25, 1977"	Yes	"[[0.010541797615587711, 0.9894582033157349], [0.00994123611599207, 0.9900587201118469]]"
818	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	Chowder Grows Up	No	"[[0.9579368233680725, 0.04206324368715286], [0.9631510376930237, 0.036848943680524826]]"
819	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	Chocolate with Nuts	No	"[[0.9578861594200134, 0.042113758623600006], [0.9586827158927917, 0.041317250579595566]]"
820	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	"The last episode of Spongebob is titled ""The Krusty Slammer""."	No	"[[0.6323652863502502, 0.3676348030567169], [0.6509435176849365, 0.3490563929080963]]"
821	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	` ` no other love''	No	"[[0.9502734541893005, 0.04972657933831215], [0.9555662274360657, 0.044433705508708954]]"
822	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	license to milkshake	No	"[[0.9441035985946655, 0.055896393954753876], [0.9590941667556763, 0.04090579226613045]]"
823	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	"Goodbye, Krabby Patty?"	No	"[[0.9515958428382874, 0.048404108732938766], [0.9606643915176392, 0.03933560103178024]]"
824	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	Ocean Man	No	"[[0.9574548006057739, 0.04254523292183876], [0.9629788398742676, 0.0370212085545063]]"
825	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	SpongeBob's Last Stand	No	"[[0.6696905493736267, 0.33030951023101807], [0.7100695371627808, 0.2899304926395416]]"
826	what is the name of the last episode of spongebob	"The String | ""Bottle Burglars"""	The Incredible Shrinking Sponge	No	"[[0.8482077121734619, 0.15179228782653809], [0.9223836660385132, 0.07761629670858383]]"
827	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	CLS Bank deals with foreign exchange transactions.	Yes	"[[0.012929815798997879, 0.9870701432228088], [0.013985670171678066, 0.9860143661499023]]"
828	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	foreign exchange	Yes	"[[0.00925343669950962, 0.9907467365264893], [0.009202973917126656, 0.9907970428466797]]"
829	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	foreign exchange market	Yes	"[[0.007910198532044888, 0.9920896887779236], [0.009188941679894924, 0.9908111095428467]]"
830	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	financial contracts	No	"[[0.9527308940887451, 0.04726912081241608], [0.9596018195152283, 0.040398065000772476]]"
